Country,Concept,Unit,Data Source,Status,Scale,2008,2009,2010,2011,2012,2013
"Bahamas, The","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.92083333333333,3.7825,3.44083333333333,2.63369186955964,2.01208333333333,1.68
"Bahrain, Kingdom of","Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.08916666666667,1.8225,0.3775,0.6,,
"Bahrain, Kingdom of","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.2234606141522,7.94142857142857,7.2475,6.79083333333333,6.035,5.935
"Bahrain, Kingdom of","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.6475,1.58166666666667,1.225,1.0225,1.08416666666667,1.05833333333333
Bangladesh,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5,5,5,5,5,5
Bangladesh,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,16.375,14.6,13,13.25,13,13
Bangladesh,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.65333333333333,8.205,7.1425,10.015,11.685,11.1852190431446
Barbados,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10,7,7,7,7,7
Barbados,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.0333333333333,9.20416666666667,8.7,8.7,8.7,8.7
Barbados,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.46,2.86583333333333,2.66583333333333,2.67666666666667,2.5625,2.51083333333333
Belarus,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.55,11.675,9.21666666666666,13.575,19.4916666666667,19.1333333333333
Belarus,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.525,10.6833333333333,9.09166666666666,13.3083333333333,22.3,20.2583333333333
Belgium,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.20833333333333,9.5,,,,
Belize,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,14.1408333333333,14.0816666666667,13.8833333333333,13.3633333333333,12.4408333333333,11.5691666666667
Belize,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.4575,8.3725,7.76083333333334,6.44083333333333,4.4125,3.585
Benin,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.5,3.5,3.5,3.5,3.5,3.5
Bhutan,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13.75,13.75,14,14,14,14
Bhutan,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2,2,2,4.5,5.5,6
Bolivia,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13,3,3,4,4,4.5
Bolivia,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,7.67756654694617,3.55068205542653,0.899286732056178,1.87066792355937,0.674166666666666,1.59166666666667
Bolivia,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13.8733333333333,12.359625,9.90992714868377,10.915392341297,11.1349478606743,11.0513992821176
Bolivia,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.65583333333333,3.43928333333333,1.04666851541744,1.40303615507917,1.62615307127361,1.73918352499664
Bosnia and Herzegovina,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.97833333333333,7.9325,7.88833333333333,7.43166666666667,6.89083333333333,6.98734166666667
Bosnia and Herzegovina,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.485,3.6,3.15916666666667,2.79583333333333,2.94833333333333,3.0567
Botswana,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,15,10,9.5,9.5,9.5,7.5
Botswana,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,16.5416666666667,13.755625,11.4583333333333,11,11,10.1892333333333
Botswana,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.673225,7.46952083333333,5.59788333333333,5.1477375,3.6075875,3.1096525
Brazil,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,20.4795999576088,15.1685181606518,17.2996,17.5544817974473,13.5869345321627,16.4934952162255
Brazil,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,12.3550672455294,10.0625796668097,9.80143599155561,11.6641570110162,8.47590119850842,8.17834399221602
Brazil,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,47.25,44.65,39.9916666666667,43.8833333333333,36.6366666666666,27.3916666666667
Brazil,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,11.6553322573294,9.2788317677565,8.87043931667786,10.9923648153523,7.90746650160068,7.80710378657161
Brunei Darussalam,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.5,5.5,5.5,5.5,5.5,5.5
Brunei Darussalam,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,0.875761458333333,0.699921291666667,0.47054075,0.395703333333333,0.231540740740741,0.2055275
Bulgaria,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.15870833333333,2.0075,0.182266666666667,0.1971,0.097575,0.0189666666666667
Bulgaria,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.861425,11.335,11.1443666666667,10.6294583333333,9.71420833333333,9.050175
Bulgaria,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.44464166666667,6.1775,4.076075,3.36826666666667,3.08416666666667,2.41330833333333
Burkina Faso,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.5,3.5,3.5,3.5,3.5,3.5
Burundi,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.08,10,11.25,14.34,13.77,12.5
Burundi,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,16.5208333333333,14.0758333333333,12.42,13.2325,14.32,15.1475
Cabo Verde,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,7.5,7.5,7.5,7.25,8.75,8.75
Cabo Verde,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.98901352284579,10.9766450308146,11.0398987608935,9.810803815182,9.90035884746328,10.520099018866
Cabo Verde,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.81016385573918,2.88459353511401,3.11427888142532,3.35121566636517,3.78753893040724,4.17449535102897
Cambodia,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.90520833333333,1.66333333333333,1.26459166666667,1.3380375,1.3337962962963,1.34340277777778
Cameroon,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.75,4.25,4,4,4,3.25
Cameroon,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.75,3.25,3.25,3.25,3.25,3.20833333333333
Canada,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.9575,0.389166666666667,0.599166666666667,0.9975,1.00083333333333,1.0025
Canada,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.72916666666667,2.39583333333333,2.60416666666667,3,3,3
Canada,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.5,0.0958333333333332,0.2,0.475,0.483333333333333,0.55
Central African Republic,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.75,4.25,4,4,4,3.25
Central African Republic,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.75,3.25,3.25,3.25,3.25,3.20833333333333
Chad,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.75,4.25,4,4,4,3.25
