"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Burundi","BDI","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.8243243242711","51.2016018417703","52.7641428350174","55.5280312579645","57.9799580447392","65.9407839686321","74.1176263662595","96.4793758287387","106.372912997154","120.558347942566","163.788060627215","182.082163171501","181.1697659542","198.838292867707","218.975268977798","252.178916707853","251.618650898651","262.031062851492","318.669632972316","342.316680630208","379.835129958138","425.76830071686","482.963289686354","539.760589461984",
"Belgium","BEL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.901164147","0.897243731","0.907280213","0.921578358","0.921267181","0.913459045","0.913085221","0.912126182","0.92446498","0.921268349","0.889921095","0.884819626","0.865224405","0.878330489","0.896937426","0.899600072","0.882064383","0.887580016","0.873504476","0.855013219","0.854057671","0.838962077","0.849369806","0.847430319",
"Benin","BEN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.125207306577","118.113066740448","118.973053891135","118.971344255732","157.298584490171","177.350295368647","186.199729021118","189.78153621483","197.567033521855","195.635232453201","199.946581861559","200.667693556581","202.160352322251","201.57119362343","196.933711679282","199.255010152778","199.413947571753","199.157223535711","209.377082764917","211.842204809717","213.210495407597","214.034563567716","223.280948761097","221.970427577439",
"Burkina Faso","BFA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177.166634462893","164.660231720472","161.354538418494","155.331496430791","174.358685499267","182.358042614029","179.711755995353","179.438313451944","191.607803259891","197.290898925202","189.696359913192","192.988080336053","195.877744695192","194.891315930126","189.863384095228","190.842050078389","183.928983259776","183.220587701072","196.174916919601","199.302818374658","211.094590823059","213.659171587501","214.006022049576","206.789286182541",
"Bangladesh","BGD","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5109937692877","13.9385944337992","14.0334364676899","13.746568341252","13.9677217500685","14.6873209498639","15.034669328419","15.2385301619639","15.8701138664653","16.3751269210911","16.3090725243548","16.1965520579507","16.4611425869492","16.8693277537987","17.1154842486975","17.4251528622364","17.7798709120798","18.4956406545318","19.7357077606189","20.8620917750193","21.946963772688","23.1454319216791","24.6767707524097","25.9187668214449",
"Bulgaria","BGR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000964400156261155","0.00304775923273333","0.00475513568337653","0.00701758071841769","0.011867085322789","0.018875631254779","0.0407422706645744","0.418634586929189","0.509119720421081","0.522660921181286","0.538080514179007","0.558339123497774","0.55648811914181","0.557249284151667","0.577262077335401","0.599071399264823","0.606608524451459","0.637040379159249","0.653213232936908","0.655327238775189","0.661748850846785","0.660251572327044","0.675296564001043","0.674513241047247",
"Bahrain","BHR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.139858434322675","0.132808183357572","0.125260073872828","0.118646394697491","0.12469019415994","0.123474486108011","0.121498391990294","0.120567549314895","0.110856085213139","0.112198568415038","0.142608228933533","0.13472435744178","0.137415208698509","0.146100198532873","0.157831651619217","0.173931156132785","0.183664681518308","0.194009258478302","0.211935319840643","0.182978121392301","0.194237920501492","0.210747166621404","0.209405843946941","0.211170171536506",
"Bahamas, The","BHS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.790887903239466","0.78499719993628","0.797470071418197","0.772296694471213","0.772709402671491","0.762993910741505","0.756683880737265","1.00201540293855","1.02148930865322","1.05696785163159","1.04301189457688","1.02325579409839","1.04768584289112","1.03901894734801","1.0233767531252","1.04171523170554","1.01901448655081","1.02192940509785","1.01727257350355","0.999038660084781","0.985890678611214","0.94924948597659","0.94832127476372","",
"Bosnia and Herzegovina","BIH","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55191180802485","0.588466460545721","0.479338692769874","0.532595268359379","0.518545056555101","0.553961625785717","0.697597068252383","0.702171977857136","0.722399219687196","0.714707657580928","0.713533868013255","0.71816758354476","0.712146407738555","0.732087896007609","0.75510778541437","0.74030057820808","0.739545378189759","0.724470304673672","0.726716081211731","0.711989918748119",
"Belarus","BLR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.12318832797659E-05","0.000160062522872284","0.00183745817134831","0.0207014909823845","0.414542917651249","3.09221201700594","4.66794046783205","7.87770977240504","13.7612163847421","56.5482543982042","157.742721943638","276.859517569062","395.081095294826","506.197221233985","604.409780593051","696.472022051036","748.342208855841","822.47866279161","977.425359772219","1025.46358980843","1125.37532955168","1889.30769751274","3257.6220824616","3818.84278255976",
"Belize","BLZ","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.32172615709178","1.24642285231313","1.26729889338004","1.25828403070096","1.27626361681249","1.32618336288664","1.32803736367966","1.28641206970985","1.29173590148395","1.24508111635272","1.22273896729446","1.19312532840003","1.19585261873646","1.13869057417042","1.13126676012479","1.12118421676155","1.13521788236476","1.15838070719094","1.16068822557648","1.12245159768416","1.11577253610257","1.14980147781883","1.14732194437882","1.14532501520917",
"Bermuda","BMU","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02183538031868","1.05253665519845","1.0580263127495","1.08713306340232","1.08533170577534","1.1075779070687","1.40711587410878","1.43911420595758","1.46270149950536","1.48121855084309","1.38695436570058","1.33732443453159","1.43009720082844","1.44168332106614","1.46905884106828","1.51966057719197","1.55361520997188","1.60223516188707","1.60430732222152","1.59736564322623","1.5948157871936","1.56358868705359","1.59289152674014","",
