,Country.Name,deposit,discount,lending,moneymarket,estimate
99,Madagascar,10.63333333,NA,57.5,9.5,81.62291169
100,Malawi,11.19956439,21,34.03034512,NA,28
101,Malaysia,2.953888889,NA,4.771111111,2.953333333,25.37470167
102,Maldives,3.903539091,14.66666667,10.60764461,NA,19.55555556
103,Mali,3.5,NA,NA,NA,NA
104,Malta,NA,1.333333333,4.724166667,NA,1.777777778
105,Mauritania,6.905,9,17,NA,12
106,Mauritius,6.718055556,NA,8.694444444,1.998721076,17.17278252
107,Mexico,1.123055556,NA,4.631666667,4.631666667,39.7947494
108,"Micronesia, Federated States of",0.510555556,NA,14.49833333,NA,4.461025641
109,Moldova,7.477716033,NA,13.38345493,6.9375,59.60620525
110,Mongolia,11.26455981,NA,17.73509122,NA,5.456951146
111,Montenegro,3.102144444,NA,9.546388889,NA,2.937350427
112,Montserrat,2.275935612,6.5,8.239780445,5.699918056,8.666666667
113,Morocco,3.835,3.097222222,NA,3.178695887,4.12962963
114,Mozambique,11.07011203,9.95,17.08061711,7.697301945,13.26666667
115,Myanmar,9.111111111,10.66666667,14.11111111,NA,14.22222222
116,Namibia,4.15625,NA,8.557013889,NA,2.63292735
117,Nepal,NA,1.333333333,NA,NA,1.777777778
118,Netherlands,2.671879167,1.333333333,1.8125,NA,1.777777778
119,Netherlands Antilles,NA,NA,NA,NA,NA
120,New Zealand,4.0690871,NA,5.821954221,2.477947185,21.29023834
121,Nicaragua,1.284422478,NA,12.50558171,NA,3.847871296
122,Niger,3.5,NA,NA,NA,NA
123,Nigeria,7.350555556,12,16.51055556,NA,16
124,Norway,NA,NA,NA,NA,NA
125,Oman,2.603,7.5,5.749666667,0.132,10
126,Pakistan,7.792222222,10.5,NA,10.577375,14
127,Panama,2.192916667,NA,6.803333333,0.454791667,3.9075179
128,Papua New Guinea,0.578611111,12.11111111,10.58444444,7.131111111,16.14814815
129,Paraguay,4.060277778,20,17.94236483,6.857222222,26.66666667
130,Peru,2.369833333,4.966666667,18.68469444,4.1915,6.622222222
131,Philippines,2.735222222,3.920847222,6.036527778,3.657172222,5.227796296
132,Poland,NA,NA,NA,3.92111732,33.68979081
133,Qatar,1.61096228,NA,5.326945786,0.661433333,5.682959427
134,Romania,5.451111111,5.444444444,11.32638889,4.311944444,7.259259259
135,Russian Federation,5.188888889,NA,9.008333333,5.175,44.46300716
136,Rwanda,NA,NA,NA,NA,NA
137,Samoa,2.545,NA,10.00777778,NA,3.079316239
138,San Marino,1.0825,NA,5.92,NA,1.821538462
139,Sao Tome and Principe,11.54398148,NA,25.46601852,NA,7.835698006
140,Saudi Arabia,NA,NA,NA,0.854646445,7.343024347
141,Senegal,3.5,NA,NA,NA,NA
142,"Serbia, Republic of",9.416666667,NA,17.48,10.68,91.76133652
143,Seychelles,2.936799924,NA,11.88931824,NA,3.658251766
144,Sierra Leone,9.870185185,NA,20.85333333,NA,6.416410256
145,Singapore,0.148055556,NA,5.38,0.396111111,3.403341289
146,Slovak Republic,NA,NA,NA,NA,NA
147,Slovenia,NA,1.333333333,NA,0.543602778,1.777777778
148,Solomon Islands,1.050206074,NA,11.74173891,NA,3.61284274
149,South Africa,5.420555556,NA,8.75,5.048611111,43.37708831
150,South Sudan,1.231723728,NA,14.40409595,NA,4.432029523
151,Spain,NA,1.333333333,NA,0.478888889,1.777777778
152,Sri Lanka,8.443611111,15,11.77090278,9.009166667,20
153,St. Kitts and Nevis,4.158740012,6.5,8.98514346,5.668434722,8.666666667
154,St. Lucia,3.162175362,6.5,9.525861251,5.668434722,8.666666667
155,St. Vincent and the Grenadines,2.867019504,6.5,9.330189452,5.718251389,8.666666667
156,Suriname,6.75737853,NA,11.82870301,NA,3.639600926
157,Swaziland,2.465,5.166666667,8.75,2.465,6.888888889
158,Sweden,NA,NA,NA,1.598663889,13.73553699
159,Switzerland,0.03,NA,2.698611111,0.02,0.171837709
160,Syrian Arab Republic,NA,NA,NA,NA,NA
161,Tajikistan,7.496736124,NA,24.57423124,17.22690598,148.0116027
162,Tanzania,8.685090381,12,15.41291738,NA,16
163,Thailand,2.652222222,3.25,6.99,2.740170455,4.333333333
164,"Timor-Leste, Dem. Rep. of",0.883916756,NA,11.88868554,NA,3.658057089
165,Togo,3.5,NA,NA,NA,NA
166,Tonga,3.157752754,NA,10.35362786,NA,3.185731648
167,Trinidad and Tobago,1.5,4.833333333,7.725833333,NA,6.444444444
168,Tunisia,NA,NA,NA,4.129444444,35.4797136
169,Turkey,15.44388889,13.58333333,NA,NA,18.11111111
170,Uganda,13.69585709,20.5,23.7986535,NA,27.33333333
171,Ukraine,10.54563333,NA,16.99621389,7.922133333,68.06606205
172,United Kingdom,NA,NA,0.5,0.484166667,4.159904535
173,United States,NA,0.75,3.25,0.116388889,1
174,Uruguay,4.550799565,23.33333333,11.13835929,8.367286798,31.11111111
175,Vanuatu,1.354166667,5.833333333,5.516666667,5.361111111,7.777777778
176,"Venezuela, Republica Bolivariana de",14.53416667,29.5,16.475,2.452083005,39.33333333
177,Vietnam,10.54572222,NA,13.59988889,NA,4.184581197
178,West African Economic and Monetary Union (WAEMU),3.5,NA,NA,NA,NA
179,West Bank and Gaza,0.493285277,NA,6.877053803,NA,2.116016555
180,"Yemen, Republic of",18.25,NA,23.86111111,NA,7.341880342
181,Zambia,6.838086626,10.736545,13.50247467,NA,14.31539333
